snapshot_utc,feature_id,name,retained_confounder,fold_001,fold_002,fold_003,fold_004,fold_005,top_8_folds,top_16_folds,top_32_folds,top_64_folds
2026-09-22T16:11:23.286833+00:00,outer_001_feature_077,ck7_expression,False,outside_top_64,50,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_078,clinical_decline,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_079,clinical_phenotype,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_080,clinical_severity_score,False,58,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_083,complete_blood_count_result,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_084,comprehensive_metabolic_panel_result,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_086,contrast_agent_concentration,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_087,copd_presence,True,outside_top_64,53,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_088,copd_severity,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_089,coronary_artery_disease,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_090,cough_presence,False,outside_top_64,outside_top_64,outside_top_64,40,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_091,cough_productivity,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_092,cough_severity,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,56,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_093,covid19_infection_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_094,cranial_nerve_ii_vi_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_097,crp_level,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_098,current_medications,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_100,diastolic_blood_pressure,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_101,disease_recurrence,False,outside_top_64,outside_top_64,outside_top_64,63,62,0,0,0,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_102,disease_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_104,dural_sinus_patency,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_105,dysplasia_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_106,dyspnea,True,outside_top_64,52,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_107,dyspnea_on_exertion,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_110,edema_presence,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_111,egfr_mutation_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
