target,family,scope,mode,kind,radius,loss,gain_over_constant,loss_increase_from_original
outcome,spline,conditional,refit,targeted,0.1,0.6177309583692763,0.0704256110902464,0.0008139807685154832
outcome,spline,conditional,refit,targeted,0.2,0.6181883858533087,0.06996818360621411,0.0012714082525477899
outcome,spline,conditional,without_query,without_query,0.0,0.6193937965496543,0.06876277290986843,0.002476818948893471
outcome,spline,solo,frozen,random,0.02,0.6875356145730802,0.0006209548864425037,2.63443289816756e-07
outcome,spline,solo,frozen,random,0.05,0.6875333857268308,0.0006231837326919853,-1.9654029596649637e-06
outcome,spline,solo,frozen,random,0.1,0.6876231423031436,0.0005334271563790986,8.779117335322172e-05
outcome,spline,solo,frozen,random,0.2,0.6885753037928597,-0.0004187343333369169,0.0010399526630692373
outcome,spline,solo,frozen,targeted,0.02,0.6875374805890817,0.000619088870440967,2.129459291353442e-06
outcome,spline,solo,frozen,targeted,0.05,0.6876215484380453,0.0005350210214773598,8.619730825496053e-05
outcome,spline,solo,frozen,targeted,0.1,0.6884713928873115,-0.00031482342778882177,0.0009360417575211421
outcome,spline,solo,frozen,targeted,0.2,0.6899601408665871,-0.0018035714070642728,0.002424789736796593
outcome,spline,solo,original,original,0.0,0.6875353511297904,0.0006212183297323204,0.0
outcome,spline,solo,refit,random,0.02,0.687538438955861,0.0006181305036617211,3.08782607059932e-06
outcome,spline,solo,refit,random,0.05,0.6875396041875096,0.0006169652720132408,4.253057719079578e-06
outcome,spline,solo,refit,random,0.1,0.6875261167720997,0.0006304526874229684,-9.234357690647954e-06
outcome,spline,solo,refit,random,0.2,0.6874894131982571,0.000667156261265677,-4.5937931533356566e-05
outcome,spline,solo,refit,targeted,0.02,0.6875169644768154,0.000639604982707298,-1.8386652974977657e-05
outcome,spline,solo,refit,targeted,0.05,0.6873387515316552,0.0008178179278674635,-0.00019659959813514316
outcome,spline,solo,refit,targeted,0.1,0.6872353462199581,0.0009212232395646059,-0.00030000490983228545
outcome,spline,solo,refit,targeted,0.2,0.687383326578736,0.0007732428807867286,-0.00015202455105440827
treatment,constant,constant,constant,constant,0.0,0.6922543491635089,0.0,
treatment,linear,conditional,frozen,random,0.02,0.6044850171587886,0.08776933200472038,-1.3454445403206173e-05
treatment,linear,conditional,frozen,random,0.05,0.604392853339236,0.08786149582427293,-0.0001056182649557531
treatment,linear,conditional,frozen,random,0.1,0.604367077434794,0.08788727172871488,-0.00013139416939770055
treatment,linear,conditional,frozen,random,0.2,0.6071294278469636,0.0851249213165454,0.0026309562427717834
treatment,linear,conditional,frozen,targeted,0.02,0.6053071850468831,0.08694716411662587,0.0008087134426913201
treatment,linear,conditional,frozen,targeted,0.05,0.6079161362421689,0.08433821292134006,0.0034176646379771246
treatment,linear,conditional,frozen,targeted,0.1,0.6132598487618539,0.07899450040165512,0.008761377157662049
treatment,linear,conditional,frozen,targeted,0.2,0.6258217941582381,0.06643255500527084,0.021323322554046325
treatment,linear,conditional,original,original,0.0,0.6044984716041918,0.08775587755931717,0.0
treatment,linear,conditional,refit,random,0.02,0.6045045609146638,0.08774978824884522,6.089310471952381e-06
treatment,linear,conditional,refit,random,0.05,0.6044875028078454,0.08776684635566366,-1.0968796346489284e-05
treatment,linear,conditional,refit,random,0.1,0.6045010442239691,0.08775330493953994,2.5726197772399926e-06
treatment,linear,conditional,refit,random,0.2,0.6045915107580542,0.08766283840545483,9.303915386234695e-05
