inner_fold,family,mode,query,scope,target,variant,kind,radius,control,distance,validation_n,loss,constant_loss,gain_over_constant,original_loss,loss_increase_from_original,without_query_loss,gain_over_without_query
1,linear,refit,2,conditional,treatment,72,random,0.2,0,0.1999998837709427,160,0.5644981341409937,0.6919406890100659,0.1274425548690722,0.5644201654236676,7.796871732612676e-05,0.5653993926320047,0.00090125849101097
1,linear,frozen,2,conditional,treatment,73,random,0.2,1,0.1999998837709427,160,0.5657838157189718,0.6919406890100659,0.12615687329109404,0.5644201654236676,0.001363650295304275,0.5653993926320047,-0.0003844230869671783
1,linear,refit,2,conditional,treatment,73,random,0.2,1,0.1999998837709427,160,0.564769320930713,0.6919406890100659,0.12717136807935292,0.5644201654236676,0.00034915550704539555,0.5653993926320047,0.0006300717012917012
1,linear,frozen,2,conditional,treatment,74,random,0.2,2,0.1999998837709427,160,0.565002106957032,0.6919406890100659,0.12693858205303388,0.5644201654236676,0.0005819415333644384,0.5653993926320047,0.0003972856749726583
1,linear,refit,2,conditional,treatment,74,random,0.2,2,0.1999998837709427,160,0.5644522544668737,0.6919406890100659,0.12748843454319214,0.5644201654236676,3.2089043206173784e-05,0.5653993926320047,0.000947138165130923
1,linear,frozen,2,conditional,treatment,75,random,0.2,3,0.1999998837709427,160,0.5653886589196743,0.6919406890100659,0.12655203009039162,0.5644201654236676,0.0009684934960066949,0.5653993926320047,1.0733712330401879e-05
1,linear,refit,2,conditional,treatment,75,random,0.2,3,0.1999998837709427,160,0.564420446862419,0.6919406890100659,0.1275202421476469,0.5644201654236676,2.81438751414953e-07,0.5653993926320047,0.0009789457695856818
1,linear,frozen,2,conditional,treatment,76,random,0.2,4,0.1999998837709427,160,0.5651047277503538,0.6919406890100659,0.12683596125971208,0.5644201654236676,0.0006845623266862333,0.5653993926320047,0.00029466488165086346
1,linear,refit,2,conditional,treatment,76,random,0.2,4,0.1999998837709427,160,0.56413533460755,0.6919406890100659,0.12780535440251584,0.5644201654236676,-0.0002848308161175206,0.5653993926320047,0.0012640580244546173
1,linear,original,2,conditional,outcome,2,original,0.0,-1,0.0,160,0.5879623798840936,0.686928996700938,0.09896661681684438,0.5879623798840936,0.0,0.5940308722649176,0.006068492380823964
1,linear,without_query,2,conditional,outcome,-1,without_query,0.0,-1,0.0,160,0.5940308722649176,0.686928996700938,0.09289812443602041,0.5879623798840936,0.006068492380823964,0.5940308722649176,0.0
1,linear,frozen,2,conditional,outcome,53,targeted,0.02,-1,0.01999818906188011,160,0.5885531113046314,0.686928996700938,0.0983758853963066,0.5879623798840936,0.0005907314205377823,0.5940308722649176,0.005477760960286182
1,linear,refit,2,conditional,outcome,53,targeted,0.02,-1,0.01999818906188011,160,0.5885941564308225,0.686928996700938,0.09833484027011552,0.5879623798840936,0.0006317765467288572,0.5940308722649176,0.005436715834095107
1,linear,frozen,2,conditional,outcome,54,random,0.02,0,0.01999818906188011,160,0.5879091554240713,0.686928996700938,0.0990198412768667,0.5879623798840936,-5.32244600223164e-05,0.5940308722649176,0.006121716840846281
1,linear,refit,2,conditional,outcome,54,random,0.02,0,0.01999818906188011,160,0.5879160032048066,0.686928996700938,0.09901299349613135,0.5879623798840936,-4.637667928697464e-05,0.5940308722649176,0.006114869060110939
1,linear,frozen,2,conditional,outcome,55,random,0.02,1,0.01999818906188011,160,0.5879223784975199,0.686928996700938,0.09900661820341805,0.5879623798840936,-4.000138657367369e-05,0.5940308722649176,0.006108493767397638
1,linear,refit,2,conditional,outcome,55,random,0.02,1,0.01999818906188011,160,0.5879249191288581,0.686928996700938,0.09900407757207985,0.5879623798840936,-3.746075523547443e-05,0.5940308722649176,0.006105953136059439
