inner_fold,sample,target,variant,control,distance,kind,query,radius,training_sd_ratio,n,moment,row_score_sd,standardized_score,abs_studentized_score,fixed_scale_score,abs_fixed_scale_score,activation_sd,activation_correlation_with_original,restart,training_criterion,seed
1,train,effect,82,4,0.00908417347818613,random,3,0.02,1.0006763935089111,640,-0.001020775298033363,0.007312075766671401,-3.5316646315245284,3.5316646315245284,-3.533600701345875,3.533600701345875,0.03337663784623146,0.9999993124098245,,,20363946.0
1,train,effect,83,-1,0.0464043952524662,targeted,3,0.05,0.9101431965827942,640,-0.0009178654467847044,0.006673192316664104,-3.4796484317223544,3.4796484317223544,-3.177359398046063,3.177359398046063,0.030356986448168755,0.9989990891979266,0.0,0.017497088760137558,
1,train,effect,84,0,0.0464043952524662,random,3,0.05,1.0022939443588257,640,-0.0010197204452864056,0.007316604090689154,-3.5258315401810107,3.5258315401810107,-3.529949135312051,3.529949135312051,0.033430591225624084,0.9999795731919982,,,20363972.0
1,train,effect,85,1,0.0464043952524662,random,3,0.05,1.0012736320495605,640,-0.0010210219669402939,0.0073128835339353005,-3.532127858034103,3.532127858034103,-3.5344545909572425,3.5344545909572425,0.033396556973457336,0.9999810051081486,,,20363973.0
1,train,effect,86,2,0.0464043952524662,random,3,0.05,1.0011050701141357,640,-0.0010189160372116647,0.007314001732962906,-3.5243037009852802,3.5243037009852802,-3.527164529392855,3.527164529392855,0.03339093551039696,0.9999878288285438,,,20363974.0
1,train,effect,87,3,0.0464043952524662,random,3,0.05,0.9963136911392212,640,-0.0010155053418924558,0.007285311971288343,-3.5263388792178505,3.5263388792178505,-3.515357782702126,3.515357782702126,0.03323112428188324,0.9999863124102759,,,20363975.0
1,train,effect,88,4,0.0464043952524662,random,3,0.05,1.0018856525421143,640,-0.0010213252359676781,0.007322532765914915,-3.5285211614216654,3.5285211614216654,-3.5355044122547663,3.5355044122547663,0.03341697156429291,0.9999871026543524,,,20363976.0
1,train,effect,89,-1,0.10000007599592209,targeted,3,0.1,0.8210278749465942,640,-0.0008073884434309203,0.006036766583145286,-3.3835152014898084,3.3835152014898084,-2.7949230114234282,2.7949230114234282,0.027384627610445023,0.994986778911132,0.0,0.014205618761479855,
1,train,effect,90,0,0.10000007599592209,random,3,0.1,0.9938637018203735,640,-0.001011835543442858,0.007260900574752559,-3.525408344986432,3.525408344986432,-3.502654103057565,3.502654103057565,0.03314940631389618,0.9999379181449907,,,20364022.0
1,train,effect,91,1,0.10000007599592209,random,3,0.1,0.986374020576477,640,-0.001011473526697284,0.007216455538653227,-3.5458516943052945,3.5458516943052945,-3.5014009157708785,3.5014009157708785,0.03289959579706192,0.999895361570476,,,20364023.0
1,train,effect,92,2,0.10000007599592209,random,3,0.1,0.9992515444755554,640,-0.001018533668059037,0.007288304133862686,-3.535402700518678,3.535402700518678,-3.525840888520568,3.525840888520568,0.03332911431789398,0.9999151447498549,,,20364024.0
1,train,effect,93,3,0.10000007599592209,random,3,0.1,0.9893875122070312,640,-0.0010139724670078314,0.007237665144130799,-3.5441954460077603,3.5441954460077603,-3.5100514554645645,3.5100514554645645,0.03300010785460472,0.9999340804213575,,,20364025.0
1,train,effect,94,4,0.10000007599592209,random,3,0.1,1.003431797027588,640,-0.0010180404239894772,0.007327517653430182,-3.514779921053594,3.514779921053594,-3.524133433810908,3.524133433810908,0.033468540757894516,0.9999259235173342,,,20364026.0
1,train,effect,95,-1,0.19999992847442627,targeted,3,0.2,0.6834612488746643,640,-0.0006119780802453853,0.005014633161337027,-3.087355823502318,3.087355823502318,-2.118474239854418,2.118474239854418,0.02279621921479702,0.9759519932658915,1.0,0.009012393653392792,
1,train,effect,96,0,0.19999992847442627,random,3,0.2,0.9740536212921143,640,-0.0009961190305018276,0.007115624467569635,-3.541507814394717,3.541507814394717,-3.448248514229022,3.448248514229022,0.032488659024238586,0.9996538220097861,,,20364122.0
1,train,effect,97,1,0.19999992847442627,random,3,0.2,0.9965885877609253,640,-0.0010061075915276864,0.0072671802095320035,-3.502422087995758,3.502422087995758,-3.4828257481358493,3.4828257481358493,0.033240292221307755,0.9995655608575073,,,20364123.0
1,train,effect,98,2,0.19999992847442627,random,3,0.2,0.9743367433547974,640,-0.000997386212804163,0.007144172651105627,-3.531843132399593,3.531843132399593,-3.452635097917805,3.452635097917805,0.03249810263514519,0.9997218546703982,,,20364124.0
1,train,effect,99,3,0.19999992847442627,random,3,0.2,0.9848799705505371,640,-0.0010021031001045322,0.007191600333827958,-3.5251438895901788,3.5251438895901788,-3.4689634674471868,3.4689634674471868,0.032849762588739395,0.9997942210540971,,,20364125.0
1,train,effect,100,4,0.19999992847442627,random,3,0.2,0.9678934812545776,640,-0.0009889248673261436,0.007077225392622103,-3.535006833373494,3.535006833373494,-3.423344600417461,3.423344600417461,0.03228319436311722,0.9995715993142978,,,20364126.0
1,train,effect,101,-1,1.1715167858028508e-07,targeted,4,0.02,1.000000238418579,640,0.00040357223796621004,0.01144672417762149,0.8919285221389064,0.8919285221389064,0.8919287236955107,0.8919287236955107,0.049671899527311325,0.9999999999998317,0.0,0.0012430258793756366,
1,train,effect,102,0,1.1715167858028508e-07,random,4,0.02,1.0,640,0.0004035720297797824,0.011446721076324207,0.89192830368239,0.89192830368239,0.8919282635859264,0.8919282635859264,0.04967188835144043,0.999999999999855,,,20364942.0
1,train,effect,103,1,1.1715167858028508e-07,random,4,0.02,1.0,640,0.00040357224341490606,0.01144672124106461,0.891928762997498,0.891928762997498,0.891928735737589,0.891928735737589,0.04967188835144043,0.9999999999998627,,,20364943.0
1,train,effect,104,2,1.1715167858028508e-07,random,4,0.02,1.0,640,0.0004035722772251065,0.011446721552310109,0.8919288134686411,0.8919288134686411,0.891928810460987,0.891928810460987,0.04967188835144043,0.9999999999998584,,,20364944.0
